ticket_id,customer_id,issue_type,resolution_time_minutes,resolved,support_date
1,35966,product_question,693,False,2025-08-10
2,13563,delivery_delay,908,True,2025-03-09
3,8572,account,792,True,2025-04-03
4,31605,product_question,612,True,2025-11-10
5,23457,refund,301,True,2025-11-10
6,34556,delivery_delay,36,False,2025-10-27
7,5843,account,762,True,2025-02-04
8,1277,account,909,False,2025-02-20
9,8672,delivery_delay,318,True,2025-03-23
10,27640,delivery_delay,732,False,2025-12-02
11,31272,refund,303,False,2025-11-15
12,26860,refund,162,False,2025-01-12
13,3441,account,958,False,2025-04-19
14,36200,account,918,False,2025-10-29
15,42377,delivery_delay,949,False,2025-01-16
16,44106,delivery_delay,922,True,2025-01-05
17,40153,product_question,338,False,2025-01-27
18,5137,product_question,652,False,2025-02-28
19,8654,product_question,304,False,2025-06-25
20,10125,product_question,128,True,2025-06-25
21,32019,product_question,772,False,2025-08-22
22,34295,account,383,False,2025-07-27
23,46573,refund,334,True,2025-12-05
24,43091,account,772,False,2025-07-08
25,46061,refund,534,True,2025-09-30
26,11411,account,978,True,2025-05-01
27,23901,product_question,879,True,2025-04-24
28,20718,refund,90,True,2025-09-27
29,44143,refund,546,True,2025-01-29
30,9978,refund,111,True,2025-04-04
31,15582,product_question,431,True,2025-11-19
32,6593,delivery_delay,758,True,2025-09-10
33,49248,refund,589,False,2025-10-21
34,21384,product_question,892,True,2025-07-20
35,30020,product_question,559,False,2025-06-30
36,5627,refund,835,False,2025-08-04
37,5105,product_question,716,True,2025-05-18
38,22698,refund,382,False,2025-08-03
39,17258,account,40,False,2025-09-05
40,38601,delivery_delay,134,False,2025-12-09
41,10221,delivery_delay,769,True,2025-11-02
42,41007,delivery_delay,107,False,2025-06-21
43,36469,delivery_delay,808,True,2025-01-19
44,37256,refund,523,False,2025-11-23
45,44093,account,715,True,2025-03-05
46,41417,account,383,False,2025-02-11
47,31414,product_question,776,True,2025-05-20
48,47272,delivery_delay,748,True,2025-02-27
49,13622,delivery_delay,517,True,2025-08-30
50,22431,product_question,411,True,2025-02-01
51,32408,delivery_delay,367,True,2025-10-17
52,4620,delivery_delay,438,True,2025-02-19
53,12397,account,974,True,2025-12-25
54,6620,product_question,302,False,2025-06-10
55,3276,refund,411,False,2025-07-31
56,28036,account,153,True,2025-05-13
57,4043,delivery_delay,982,True,2025-08-06
58,20410,product_question,128,False,2025-01-23
59,16112,product_question,598,True,2025-05-24
60,7591,delivery_delay,211,False,2025-07-25
61,21168,delivery_delay,489,True,2025-01-23
62,34130,delivery_delay,892,True,2025-10-02
63,23114,product_question,356,True,2025-09-15
64,27003,refund,965,True,2025-03-05
65,6081,delivery_delay,731,False,2025-01-25
66,3384,account,760,True,2025-02-25
67,4948,account,923,False,2025-10-16
68,587,product_question,366,False,2025-06-27
69,24529,delivery_delay,571,True,2025-10-01
70,9286,product_question,639,False,2025-07-15
71,15457,product_question,953,True,2025-08-06
72,20508,delivery_delay,38,False,2025-10-14
73,17465,account,256,False,2025-07-10
74,34904,refund,12,True,2025-05-25
75,114,refund,280,False,2025-06-07
76,13015,refund,283,True,2025-03-13
77,10948,product_question,964,False,2025-05-16
78,49366,refund,260,True,2025-05-27
79,43915,product_question,575,False,2025-01-10
80,4162,delivery_delay,787,False,2025-01-18
81,16935,account,478,True,2025-03-13
82,19772,account,627,True,2025-10-11
83,24426,account,845,True,2025-02-08
84,18761,product_question,839,False,2025-11-20
85,9144,product_question,685,False,2025-03-03
86,5608,product_question,297,True,2025-04-19
87,17479,account,205,True,2025-02-21
88,10485,product_question,581,False,2025-06-11
89,21601,refund,475,True,2025-10-27
90,813,account,430,False,2025-12-27
91,22906,account,563,False,2025-05-31
92,40869,delivery_delay,804,True,2025-12-04
93,49521,product_question,195,False,2025-02-06
94,21693,delivery_delay,684,True,2025-12-08
95,7885,refund,94,True,2025-05-05
96,46490,delivery_delay,726,False,2025-06-21
97,15526,refund,20,False,2025-08-15
98,14481,delivery_delay,807,True,2025-10-28
99,24658,product_question,816,True,2025-03-21
100,47937,product_question,168,False,2025-05-10
101,25829,delivery_delay,361,False,2025-03-27
102,10548,delivery_delay,878,False,2025-11-28
103,32434,account,290,False,2025-12-18
104,40846,refund,595,True,2025-01-23
105,43622,product_question,540,False,2025-04-24
106,10205,account,296,False,2025-03-09
107,24095,account,52,True,2025-07-14
108,49159,account,310,False,2025-07-02
109,44035,account,818,False,2025-01-10
110,19983,product_question,891,True,2025-07-14
111,44880,product_question,415,True,2025-04-07
112,49642,refund,641,True,2025-01-16
113,38545,product_question,101,False,2025-08-24
114,34071,refund,667,False,2025-05-06
115,24557,product_question,693,False,2025-10-15
116,6469,refund,356,True,2025-06-13
117,49304,refund,132,False,2025-08-26
118,2231,product_question,958,True,2025-09-04
119,15819,refund,121,False,2025-08-08
120,20363,refund,833,True,2025-11-28
121,44154,account,706,False,2025-11-28
122,32732,account,910,False,2025-12-29
123,26197,delivery_delay,585,True,2025-01-18
124,49430,delivery_delay,506,False,2025-09-09
125,38714,refund,11,True,2025-01-13
126,46943,delivery_delay,700,False,2025-04-21
127,19522,delivery_delay,691,False,2025-07-12
128,39728,refund,526,False,2025-11-10
129,7551,refund,105,True,2025-11-12
130,8775,delivery_delay,408,True,2025-06-06
131,15856,product_question,947,False,2025-06-13
132,336,product_question,807,False,2025-05-04
133,32556,refund,890,True,2025-01-26
134,28969,refund,473,False,2025-07-27
135,15920,refund,909,True,2025-12-22
136,18289,account,819,True,2025-12-10
137,26012,delivery_delay,328,False,2025-02-03
138,34346,product_question,823,True,2025-07-14
139,24780,product_question,778,False,2025-02-25
140,10582,account,908,False,2025-10-06
141,41571,account,970,False,2025-02-18
142,35495,account,449,True,2025-09-20
143,43799,refund,539,False,2025-12-22
144,33626,account,746,True,2025-08-25
145,35092,product_question,85,True,2025-06-16
146,35525,product_question,608,False,2025-08-16
147,25270,delivery_delay,189,False,2025-03-15
148,27517,product_question,706,True,2025-12-12
149,27147,refund,802,True,2025-03-24
150,18144,refund,652,False,2025-11-18
151,7046,refund,660,False,2025-03-21
152,26908,product_question,941,False,2025-09-19
153,39878,delivery_delay,196,False,2025-03-21
154,29309,refund,217,True,2025-06-24
155,32173,delivery_delay,438,True,2025-04-02
156,26448,account,688,False,2025-06-18
157,9413,delivery_delay,828,True,2025-06-25
158,38668,refund,767,True,2025-01-15
159,49169,refund,73,False,2025-03-29
160,26422,refund,667,True,2025-04-03
161,24396,delivery_delay,904,True,2025-09-26
162,3283,delivery_delay,222,True,2025-05-18
